0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
E124,771838014.4666984,57654830.14109322,829492844.6078166,741780367.8300117,66657380.340000615,808437748.17,50565.90765636127,3777.177027063235,54343.08468342614,674959.3883803565,60652.75736123805,735612.1457415832,125417.34419626436,8872.843145884248,132234.36466616654,398657.04198661284,37200.67655572807,430563.4654328834,13.083743770154387,15.495902270786722,13.244287711691978,-2.192625926780514,-1.4656878590491647,-2.1842972519039274,391.5184870940389,650.511710297776,409.1004332009807,5.567863169182354,2.953164681205852,5.475421324056711,30057646.636686683,-9002550.198907398,21055096.43781662
E125,916136778.4417212,67619422.04362342,983756200.4853822,941211364.4900177,83629745.46000104,1024841109.9499999,51537.84757210403,3803.9728872425417,55341.82045934868,682037.2206449403,60601.26482608771,742638.4854710144,123113.66729401433,8452.903212968164,129569.11938039512,381055.427932566,36009.1689040236,411487.14275200426,12.320006265207997,15.377605594634847,12.500583432708872,-2.119247516343837,-1.3370566449019585,-2.11260491062886,365.22336717957376,677.9478493935486,383.9698038003015,5.4981311370036305,2.579665233260231,5.405049965685031,-25074586.04829645,-16010323.416377619,-41084909.46461773
E126,110808425.11262827,15765675.15475405,126574100.26738231,520691097.8199993,17316278.560000006,538007376.3799999,215161.9905099578,30612.961465541845,245774.95197549963,411939.15966772096,13699.587468354435,425638.74713607586,293494.2589033796,44306.373448640494,336174.08633413404,399607.21849376964,16211.848650151484,412390.99217072735,1.354594256890235,1.5261150342536642,1.3646318449702064,-0.060958972176163036,3.1183340149926866,-0.06094363847632148,0.3681542491408982,0.9573111368806164,0.40214548726837807,-0.4032060953095966,22.77558682490298,-0.40945526748513217,-409882672.707371,-1550603.405245956,-411433276.11261755
E127,1618009.2179864221,116785.44541520794,1734794.6634016254,651937954.5299832,19570220.999999553,671508175.53,1136.2424283612515,82.0122509938258,1218.254679355074,166992.30392673748,5012.863985655623,172005.16791239753,9226.603751912877,906.5215198937159,10034.456256830546,233390.309423083,7001.365354002043,240390.7532506227,24.921089738063515,28.19307350529228,24.642006215435504,3.0107141141155584,3.009928238052452,3.0107297794695658,678.6753484961237,845.7785458099997,654.5864803124111,7.584771954023516,7.581502180883977,7.5848356444644445,-650319945.3119967,-19453435.554584347,-669773380.8665984
E128,8772464.92922969,424931.42618801264,9197396.355417822,242390151.7899956,8299067.000000021,250689218.78999993,2799.127290756123,135.58756419528163,2934.7148549514427,208777.04719207203,7148.205857019829,215925.25304909554,12995.206941168484,836.4109904389778,13619.983250053854,288103.3239253759,8584.378590154098,296389.42328916304,10.208540266624171,4.850287252316759,9.789601997439117,2.1420405324506313,1.8933454911343908,2.142285165599083,196.180241787811,210.61713927979955,185.34453157068637,2.684325020831201,1.9960745693602266,2.6853418250904664,-233617686.86076593,-7874135.573812009,-241491822.4345821
E129,74799676.65566705,9286965.377903925,84086642.0335715,324806032.61999947,49593039.6800001,374399072.29999995,12618.029125449908,1566.6270880404732,14184.656213490469,62691.76464389104,9572.097988805268,72263.86263269639,60439.36609804926,8679.224045458379,68480.76092914889,40583.192083049726,6654.299996163068,46930.50563320567,11.114991393385802,12.975300992622586,11.196808266941312,-1.0090635260036245,-0.7062578921413859,-0.989794617579702,156.88591885940048,219.29144979877054,160.14573680331483,0.6479818363775425,0.07993017174800698,0.6125308236417824,-250006355.9643324,-40306074.30209617,-290312430.2664285
E130,71182820.56902885,4875364.768602958,76058185.33763142,110036672.88000123,10107749.2500001,120144422.12999998,22793.0901597915,1561.1158400906045,24354.20599988198,83298.01126419472,7651.589137017487,90949.6004012112,59805.46439758635,3929.3684494722415,62898.149767532144,29696.603671862118,2750.144770627303,32339.614870159752,8.497154764554521,5.776593643690735,8.256579630450306,-4.127866816563335,-3.572484745844181,-4.094599694602626,105.91730664031003,68.42699727609782,101.16790114246169,18.36193424826379,13.742038139633635,17.982944585932827,-38853852.31097238,-5232384.481397143,-44086236.79236856
E131,109407817.96795125,13515962.477638949,122923780.44558924,209084031.7899997,32676565.58000001,241760597.36999992,16762.343797755668,2070.777153001218,18833.12095075674,67511.795863739,10551.038288666454,78062.83415240553,64219.87652506611,7201.851274916532,71270.9165517116,139884.06864820851,21593.356082928098,161332.07795460368,11.33454828919905,9.560942937195243,11.192365312744409,3.8831647704252643,3.8060807926224633,3.8604571162840244,148.68820145261444,114.94387233343414,145.90884706277018,17.48175919165759,17.14076066584172,17.274542813194515,-99676213.82204844,-19160603.10236106,-118836816.92441067
E132,62945516.69017377,6003649.332148838,68949166.0223233,203358261.85000336,17667972.89000017,221026234.7400001,12464.458750529458,1188.841451910661,13653.300202440256,122578.81968053247,10649.772688366587,133228.592368897,33116.75346051785,3714.8642633067493,36218.725681425145,152881.09324605452,12312.18879323518,163069.05797660933,5.378386524850919,6.527409941088051,5.440730899367476,3.6539397307533465,4.914912305272614,3.6681695481315852,82.22362341770393,120.8691361326626,87.10509460192829,17.056777491885242,27.56611496415802,16.860089976018134,-140412745.1598296,-11664323.55785133,-152077068.71767682
E133,38427192.71387073,1523369.2322899315,39950561.94616056,113655014.38000005,3409650.4800000046,117064664.86000001,24032.015455829096,952.70120843648,24984.716664265517,811821.5312857147,24354.64628571432,836176.1775714287,73305.1828998106,3278.6400202571213,75746.52749634165,346625.1108131314,10398.753596803335,357023.86440993403,8.087107448332373,6.8240376725378455,8.02689804629244,-2.7960645044270027,-2.796064145445833,-2.796064493971244,86.83076066873707,64.1042415683938,85.70838534796803,9.142079558360543,9.142076586686876,9.142079471807001,-75227821.66612932,-1886281.2477100731,-77114102.91383946
