企业代号,信誉评级,是否违约,违约率,贷款金额,流失率,利率
E1,A,0,0.0,6279.29634748443,0.7394750473909916,0.10332656
E2,A,0,0.0,9201.827488257197,0.1889631233223962,0.04908607
E3,C,0,0.05882352941176471,7222.866757620816,0.6964352415878182,0.10245759
E4,C,0,0.05882352941176471,15690.632490743988,0.7574034706599349,0.11519175
E5,B,0,0.02631578947368421,8168.440221924501,0.7793226357610361,0.12123974
E6,A,0,0.0,10813.710768641278,0.6558507925389303,0.08695029
E7,A,0,0.0,9449.431333566372,0.5845831455520842,0.07945984
E8,A,0,0.0,10304.066085953631,0.8402726974622055,0.12518218
E9,A,0,0.0,10320.439431789486,0.6888314446485918,0.0935914
E10,B,0,0.02631578947368421,8010.052821059348,0.7438058970898558,0.11057275
E11,C,0,0.05882352941176471,8074.252229456126,0.7610268630067791,0.11561688
E12,B,0,0.02631578947368421,12441.23566753379,0.5276593806593664,0.07618493
E13,A,0,0.0,6871.928575845504,0.834054284301599,0.12466338
E14,C,0,0.05882352941176471,7366.040938656378,0.5281565007321469,0.08230866
E15,A,0,0.0,8299.733370716953,0.7579295661857066,0.104961
E16,A,0,0.0,8284.176357092834,0.6831837801200648,0.09283783
E17,A,0,0.0,8638.33252383651,0.7810941682725508,0.10710908
E18,A,0,0.0,10010.65619648616,0.7586895908987346,0.10502656
E19,A,0,0.0,11499.753100378588,0.7838610029451842,0.10741545
E20,B,0,0.02631578947368421,11052.130348917339,0.4854100447748375,0.07257075
E21,B,0,0.02631578947368421,9494.3960774129,0.0005858825765908468,0.04001756
E22,A,0,0.0,9476.633537758487,0.8385501120860471,0.12503876
E23,B,0,0.02631578947368421,8891.097716045544,0.7799143433254165,0.12130038
E24,A,0,0.0,7102.091564102679,0.6428803674803527,0.08541018
E25,C,0,0.05882352941176471,14818.701828379582,0.7645547421901876,0.11608196
E26,A,0,0.0,5055.278945569116,0.7099028048919223,0.09897721
E27,A,0,0.0,10876.458343275126,0.7783274104976073,0.10682044
E28,B,0,0.02631578947368421,11438.086370276018,0.862720289104653,0.14583766
E29,C,1,0.05882352941176471,16920.99317035588,0.776760828707082,0.11848353
E30,B,0,0.02631578947368421,9748.862559643349,0.762990137113985,0.1122538
E31,A,0,0.0,7570.449250425902,0.7903940660427725,0.1082523
E32,B,0,0.02631578947368421,18626.71455435239,0.8085686207354383,0.12491451
E33,B,0,0.02631578947368421,11733.884718585123,0.7344808540779929,0.10978046
E34,B,0,0.02631578947368421,13011.197187725791,0.7792310394083347,0.12123033
E35,B,0,0.02631578947368421,11112.314709966713,0.8216735823311168,0.13017973
E37,B,0,0.02631578947368421,6920.182568397775,0.6495249151194333,0.09620769
E38,B,0,0.02631578947368421,12958.554412902835,0.0,0.04
E39,C,0,0.05882352941176471,10507.36504243681,0.7558906061702323,0.11502691
E40,C,0,0.05882352941176471,9095.141984923113,0.806380909255719,0.12825681
E41,C,0,0.05882352941176471,7218.452965936572,0.793420822416795,0.12605061
E42,A,0,0.0,9455.549152391852,0.6673474030406065,0.09045702
E43,B,0,0.02631578947368421,5055.278945569116,0.7914682705844819,0.1224961
E44,C,0,0.05882352941176471,12724.863530879888,0.7457228277717134,0.10631955
E45,B,1,0.02631578947368421,16312.491719411702,0.8385857446237133,0.13533652
E46,C,0,0.05882352941176471,13713.708465051488,0.744475565414716,0.1063023
E47,C,0,0.05882352941176471,7987.43743330779,0.6869762414570748,0.10157816
E48,A,0,0.0,8278.673561600066,0.6012526780504531,0.08153127
E49,C,0,0.05882352941176471,9199.464347604313,0.71326675916718,0.10842974
