企业代号,信誉评级,违约率,贷款金额,流失率,利率
E124,A,0.0,49.42629247424778,0.660048781527381,0.08793639978271257
E125,A,0.0,39.471016320267914,0.6939521244300123,0.09435890594814585
E126,A,0.0,45.86172761482014,0.6986907635178542,0.09529484354689709
E127,B,0.02631578947368421,44.48044031412364,0.7483260288284984,0.11095029310239388
E128,B,0.02631578947368421,41.6420025402346,0.7173739144596271,0.10815276059764421
E129,A,0.0,46.45698373914271,0.7458410776999475,0.10390910823450362
E130,A,0.0,48.86588992352475,0.7170603583078137,0.10055122021278459
E131,A,0.0,48.748593868824024,0.7457253506970762,0.10389879088636828
E132,A,0.0,43.784654178144955,0.6551511587979356,0.08683054742425775
E133,A,0.0,44.216044284967225,0.7846494001099197,0.10750675853496434
E134,A,0.0,46.31596977742221,0.7108972288847553,0.09924320133115713
E135,B,0.02631578947368421,51.01132406018276,0.7686802500665432,0.11286977892241057
E136,A,0.0,47.922223081964404,0.7049587638572103,0.09729036753763345
E137,A,0.0,44.551485773384144,0.7149903003960634,0.10016318865075695
E138,B,0.02631578947368421,47.51651260164481,0.7562009478571962,0.11162341636210056
E140,B,0.02631578947368421,47.74597641871542,0.7397367004637528,0.11023076083339803
E141,A,0.0,48.381524244820056,0.7301568585122954,0.10237605789391786
E142,A,0.0,50.19669872188991,0.7648438385753455,0.10556183806788537
E143,B,0.02631578947368421,52.86228958819514,0.7549650890084513,0.11151509169868516
E144,B,0.02631578947368421,47.26472417745625,0.7368580919921279,0.10998565417704685
E145,A,0.0,45.121097140232024,0.613975931450094,0.08293798741852311
E146,A,0.0,53.962618240480964,0.789271590868337,0.10809233385586457
E147,A,0.0,46.97452041569896,0.6706350965299037,0.09108151484352359
E148,B,0.02631578947368421,45.57047031103085,0.6581644582629095,0.0970281099041482
E150,A,0.0,39.602741153529095,0.6376963149325038,0.0849486580517867
E151,B,0.02631578947368421,50.557610162921506,0.7349361785837069,0.10981999052132536
E152,B,0.02631578947368421,48.36033471337295,0.600755638260851,0.08750869332079111
E154,A,0.0,57.92208510900714,0.6603614830361024,0.08803805462222132
E155,A,0.0,41.42378663294768,0.71089907043552,0.09924367522456536
E156,A,0.0,49.323487245541806,0.7895250547235302,0.1081276796243817
